subperiod,el_ecl_vol,el_tcel_vol,vol_ratio,corr_ecl_macro_stress,corr_tcel_macro_stress,N
early,0.0075,0.0049,1.5338,0.5405,0.0174,60
late,0.0075,0.0052,1.4451,0.5279,-0.0192,60
